dataset,gene,unit,index,index_knockdown,index_control,delta,bootstrap_CI95_low,bootstrap_CI95_high,per_sample_knockdown,per_sample_control,n_boot,chrom,strand,window_5prime_or_proximal,window_3prime_or_distal
C2C12,Poldip3,termexon,distal 3'UTR usage index,0.492977170109748,0.473018478876458,0.0199586912332899,0.0029213102801887,0.0372223963354675,0.4769;0.5102;0.4917,0.4684;0.4664;0.4842,729.0,chr15,-,83127016-83128055,83125976-83127015
C2C12,Poldip3,intron6,intronic polyadenylation index,0.448682106345259,0.496334726559981,-0.0476526202147218,-0.173579462356564,0.0709217947368437,0.4985;0.3228;0.5248,0.577;0.4888;0.4233,729.0,chr15,-,83130931-83131430,83129311-83129810
C2C12,Poldip3,intron3,intronic polyadenylation index,0.581283103133565,0.52336644814117,0.0579166549923946,-0.14983444001004,0.21391931388247,0.3683;0.6936;0.682,0.5604;0.5762;0.4335,729.0,chr15,-,83134744-83135243,83133377-83133876
C2C12,Poldip3,intron1,intronic polyadenylation index,0.254458564062859,0.573021087930355,-0.318562523867496,-0.634584063438984,-0.0025409842960076,0;0.4935;0.2698,0.7024;0.7356;0.2811,729.0,chr15,-,83148645-83149144,83138573-83139072
C2C12,Itpr3,intron15,intronic polyadenylation index,0.348167754551625,0.272403436823789,0.0757643177278366,-0.007025942481061,0.17918183198759,0.3206;0.2654;0.4586,0.2732;0.2499;0.2941,729.0,chr17,+,27093387-27093886,27094245-27094744
C2C12,Itpr3,intron18,intronic polyadenylation index,0.773773421612541,0.638576672814365,0.135196748798176,0.0342238049452085,0.240123976493762,0.6671;0.8798;0.7744,0.6001;0.6493;0.6663,729.0,chr17,+,27096120-27096619,27097412-27097911
C2C12,Itpr3,intron22,intronic polyadenylation index,0.0944903032518528,0.0961054640982513,-0.0016151608463985,-0.10570330578131,0.101737625465575,0;0.113;0.1705,0.0334;0.0798;0.1751,729.0,chr17,+,27099850-27100349,27100555-27101054
C2C12,Itpr3,termexon,distal 3'UTR usage index,0.366001114865356,0.319987910909553,0.0460132039558025,0.0378964179733193,0.0541299899382857,0.3587;0.3721;0.3672,0.3141;0.3251;0.3208,729.0,chr17,+,27121460-27121841,27121842-27122223
C2C12,Hdgfl2,intron2,intronic polyadenylation index,0.541095405620597,0.538979212115851,0.0021161935047457,-0.237856376512618,0.177512212131614,0.2887;0.6697;0.6649,0.5044;0.4837;0.6288,729.0,chr17,+,56080169-56080668,56080874-56081373
C2C12,Ryr3,termexon,distal 3'UTR usage index,0.284736702693407,0.279081137474723,0.0056555652186846,-0.0761695189104708,0.0691934946315448,0.308;0.295;0.2513,0.2389;0.3662;0.2322,729.0,chr2,-,112631787-112632218,112631355-112631786
C2C12,Stmn2,intron3,intronic polyadenylation index,0.614846507743745,0.533721785646155,0.0811247220975895,-0.020169923344444,0.182390839412205,0.6306;0.5331;0.6808,0.5154;0.621;0.4648,729.0,chr3,+,8548824-8549323,8554242-8554741
C2C12,Stmn2,termexon,distal 3'UTR usage index,0.324664986848879,0.354868759585477,-0.0302037727365976,-0.0625820129725749,-0.0001263913165238,0.3352;0.3465;0.2923,0.34;0.3767;0.3479,729.0,chr3,+,8560266-8560935,8560936-8561606
C2C12,Gpsm2,termexon,distal 3'UTR usage index,0.276141327197155,0.26122673505241,0.0149145921447448,-0.0016651152568136,0.0314942995463033,0.2611;0.2907;0.2766,0.2606;0.2716;0.2515,729.0,chr3,-,108679221-108679803,108678638-108679220
C2C12,Gpsm2,intron11,intronic polyadenylation index,0.403108530009066,0.510650856794392,-0.107542326785326,-0.190349268851209,-0.0225396504350684,0.4571;0.4129;0.3393,0.5501;0.5562;0.4256,729.0,chr3,-,108689216-108689715,108687050-108687549
C2C12,Gpsm2,intron10,intronic polyadenylation index,0.537224578465396,0.308350328015246,0.22887425045015,0.098528838928703,0.359219661971597,0.6426;0.4094;0.5596,0.3363;0.3733;0.2155,729.0,chr3,-,108696399-108696898,108689887-108690386
C2C12,Mcub,intron4,intronic polyadenylation index,0.396319736604493,0.487260376337436,-0.0909406397329431,-0.221575482194538,0.0138444254522738,0.5023;0.2645;0.4222,0.4885;0.4922;0.4811,729.0,chr3,-,129925815-129926314,129918797-129919296
C2C12,Agrn,termexon,distal 3'UTR usage index,0.514496683777095,0.535523333038838,-0.0210266492617437,-0.0678362754791546,0.0468900635145644,0.5843;0.4934;0.4658,0.5412;0.5357;0.5297,729.0,chr4,-,156165972-156166653,156165290-156165971
C2C12,Stim2,intron8,intronic polyadenylation index,0.391639688286896,0.419076545284963,-0.0274368569980669,-0.151161093426543,0.105687811912728,0.437;0.4151;0.3228,0.5355;0.4431;0.2786,729.0,chr5,+,54105449-54105948,54109153-54109652
C2C12,Stim2,intron13,intronic polyadenylation index,0.508271370435334,0.543765909368051,-0.0354945389327175,-0.130875595585565,0.0598865177201306,0.4562;0.4843;0.5843,0.4698;0.5337;0.6279,729.0,chr5,+,54116243-54116742,54117722-54118221
C2C12,Stim2,termexon,distal 3'UTR usage index,0.0406644188906286,0.0555454424011722,-0.0148810235105436,-0.0211959879694372,-0.0092035746823564,0.0438;0.0439;0.0343,0.0567;0.0586;0.0513,729.0,chr5,+,54118272-54119664,54119665-54121057
C2C12,Atp2a2,termexon,distal 3'UTR usage index,0.39227394669337,0.384934630909812,0.0073393157835584,-0.0223460791932718,0.0330375603499946,0.4179;0.3971;0.3619,0.3905;0.3927;0.3716,729.0,chr5,-,122453909-122454304,122453513-122453908
C2C12,Atp2a2,intron20,intronic polyadenylation index,0.482206478420675,0.438528673106828,0.043677805313847,0.0005860683029594,0.0956017573591674,0.537;0.4708;0.4388,0.4501;0.4371;0.4284,729.0,chr5,-,122455343-122455842,122454355-122454854
C2C12,Atp2a2,intron11,intronic polyadenylation index,0.497897793832496,0.549662561155291,-0.0517647673227957,-0.104625145827427,-0.0127011006537295,0.521;0.4433;0.5294,0.5406;0.5698;0.5386,729.0,chr5,-,122465400-122465899,122462036-122462535
C2C12,Atp2a2,intron6,intronic polyadenylation index,0.65645397587121,0.371899753455086,0.284554222416124,-0.0574033564875631,0.644231126995842,0.8483;0.4885;0.6326,0.4339;0.0078;0.674,729.0,chr5,-,122472660-122473159,122471304-122471803
C2C12,Atp2a2,intron5,intronic polyadenylation index,0.257103460695193,0.306997040025071,-0.0498935793298777,-0.246435862135311,0.192711202007689,0.1509;0.3051;0.3153,0.4862;0.3739;0.061,729.0,chr5,-,122488332-122488831,122473341-122473840
C2C12,Orai1,termexon,distal 3'UTR usage index,0.275021118719791,0.247196762911209,0.0278243558085825,0.0158611437806509,0.0367987261913857,0.2788;0.2622;0.284,0.2473;0.2446;0.2497,729.0,chr5,+,123029075-123029765,123029766-123030456
C2C12,Orai2,termexon,distal 3'UTR usage index,0.471550192861824,0.461778417775454,0.00977177508637,-0.0094176805382748,0.0312261471259788,0.4688;0.4612;0.4846,0.4403;0.4705;0.4745,729.0,chr5,-,136149206-136150952,136147459-136149205
C2C12,Orai2,intron3,intronic polyadenylation index,0.581743597972147,0.47985756341504,0.101886034557107,-0.059005091699402,0.310651579098867,0.569;0.5235;0.6527,0.5727;0.2559;0.6109,729.0,chr5,-,136160937-136161436,136151003-136151502
C2C12,Orai2,intron2,intronic polyadenylation index,0.503032323255622,0.42129149809878,0.0817408251568412,-0.0842082796791743,0.214630220728048,0.6277;0.3354;0.546,0.4533;0.4585;0.3522,729.0,chr5,-,136165756-136166255,136161775-136162274
C2C12,Itpr1,termexon,distal 3'UTR usage index,0.402528743778267,0.429408040872378,-0.0268792970941114,-0.0769508043229924,0.0231922101347695,0.4241;0.362;0.4215,0.3853;0.4295;0.4734,729.0,chr6,+,108549753-108550430,108550431-108551109
C2C12,Setd5,intron4,intronic polyadenylation index,0.486301384203441,0.494890687150306,-0.0085893029468646,-0.0436296144894042,0.0272849907608182,0.4978;0.5033;0.4577,0.5071;0.5185;0.459,729.0,chr6,+,113107612-113108111,113108323-113108822
C2C12,Setd5,intron14,intronic polyadenylation index,0.451385703736224,0.360957175338587,0.0904285283976368,-0.0064135139703492,0.187270570765623,0.4886;0.4916;0.374,0.2737;0.4467;0.3625,729.0,chr6,+,113121861-113122360,113124799-113125298
C2C12,Setd5,intron15,intronic polyadenylation index,0.36091625067175,0.404326074294675,-0.0434098236229243,-0.147515871912483,0.0329949398143079,0.4133;0.4167;0.2527,0.3868;0.3805;0.4457,729.0,chr6,+,113130433-113130932,113137403-113137902
C2C12,Setd5,intron16,intronic polyadenylation index,0.43693003496407,0.415945163748181,0.0209848712158886,-0.083346682593182,0.112352139890508,0.4601;0.3721;0.4786,0.3761;0.5203;0.3514,729.0,chr6,+,113138562-113139061,113143063-113143562
C2C12,Setd5,intron17,intronic polyadenylation index,0.36403714951671,0.452805492140933,-0.0887683426242235,-0.166136356301506,-0.0062299228294703,0.4157;0.3653;0.3111,0.4977;0.4904;0.3703,729.0,chr6,+,113144134-113144633,113146890-113147389
C2C12,Setd5,intron18,intronic polyadenylation index,0.563522539224016,0.458686544291605,0.104835994932412,-0.0632162346304035,0.272888224495227,0.5457;0.4662;0.6786,0.6028;0.3111;0.4622,729.0,chr6,+,113147789-113148288,113149005-113149504
C2C12,Setd5,termexon,distal 3'UTR usage index,0.505464458947681,0.510382544870997,-0.0049180859233154,-0.0171078097744462,0.0102891054461771,0.4952;0.5207;0.5004,0.5034;0.5133;0.5144,729.0,chr6,+,113150862-113152148,113152149-113153435
C2C12,Itpr2,termexon,distal 3'UTR usage index,0.407951275553358,0.415791167099695,-0.0078398915463373,-0.0214360562155809,0.0061425218512682,0.3963;0.4056;0.4219,0.4251;0.41;0.4123,729.0,chr6,-,146110028-146111757,146108299-146110027
C2C12,Stim1,intron11,intronic polyadenylation index,0.52390420965331,0.451712702858914,0.072191506794396,-0.153295144629916,0.306881742816677,0.6458;0.5203;0.4056,0.6526;0.4862;0.2163,729.0,chr7,+,102428917-102429416,102430201-102430700
C2C12,Stim1,termexon,distal 3'UTR usage index,0.482349296075515,0.433724882992642,0.0486244130828732,0.0167581780092608,0.0863657126795973,0.5201;0.4714;0.4555,0.4132;0.4443;0.4437,729.0,chr7,+,102435384-102436351,102436352-102437319
C2C12,Orai3,termexon,distal 3'UTR usage index,0.455475568513222,0.45295768525568,0.0025178832575414,-0.0210354105495459,0.0322411717121368,0.4344;0.4864;0.4457,0.4415;0.4601;0.4573,729.0,chr7,+,127773557-127774353,127774354-127775150
C2C12,Cracr2b,termexon,distal 3'UTR usage index,0.425115006175291,0.388011959793152,0.0371030463821395,-0.0028364157012242,0.103208737451903,0.3843;0.4921;0.3989,0.3853;0.388;0.3908,729.0,chr7,+,141466009-141466310,141466311-141466613
C2C12,Saraf,intron6,intronic polyadenylation index,0.469619035534771,0.538755203136333,-0.0691361676015622,-0.171169959985114,0.0175583932401002,0.5204;0.3672;0.5213,0.5745;0.5734;0.4684,729.0,chr8,+,34168662-34169161,34169546-34170045
C2C12,Saraf,termexon,distal 3'UTR usage index,0.31725090644268,0.332845002975403,-0.0155940965327236,-0.0347504607259657,0.0032295872476724,0.3328;0.3209;0.2981,0.3268;0.3468;0.325,729.0,chr8,+,34170096-34170470,34170471-34170845
C2C12,Micu3,intron8,intronic polyadenylation index,0.367523591821544,0.38873730171471,-0.0212137098931657,-0.223795064702885,0.193340414383624,0.2169;0.5821;0.3036,0.492;0.2446;0.4296,729.0,chr8,+,40359499-40359998,40365599-40366098
C2C12,Micu3,intron12,intronic polyadenylation index,0.640640645174048,0.605767667249374,0.0348729779246746,-0.165265161244636,0.195332264959298,0.5928;0.7286;0.6005,0.8085;0.5459;0.4629,729.0,chr8,+,40378991-40379490,40380122-40380621
C2C12,Micu3,intron14,intronic polyadenylation index,0.673764538263483,0.704455292994391,-0.0306907547309073,-0.277706743693288,0.287540362811791,1;0.4223;0.599,0.6888;0.6648;0.7598,729.0,chr8,+,40382228-40382727,40384059-40384558
C2C12,Micu3,termexon,distal 3'UTR usage index,0.54240729297166,0.578114481805347,-0.0357071888336864,-0.0609632075760772,-0.0104511700912956,0.5488;0.5573;0.5211,0.5529;0.5924;0.5891,729.0,chr8,+,40384609-40385458,40385459-40386308
C2C12,Unc13a,termexon,distal 3'UTR usage index,0.991967497593414,0.986274833271696,0.0056926643217182,-0.0006424905531576,0.0120326758687697,0.9965;0.9919;0.9875,0.9881;0.9904;0.9803,729.0,chr8,-,71627070-71629723,71624417-71627069
C2C12,Arhgap32,termexon,distal 3'UTR usage index,0.241056481951863,0.256387985594521,-0.0153315036426581,-0.0231907032233442,-0.0043642473908117,0.2527;0.2357;0.2348,0.2538;0.2558;0.2595,729.0,chr9,+,32258902-32263673,32263674-32268446
C2C12,Trpc1,termexon,distal 3'UTR usage index,0.416852885790422,0.451641864006596,-0.0347889782161735,-0.117396479174612,0.0392519188445781,0.4615;0.3909;0.3982,0.4332;0.3851;0.5367,729.0,chr9,-,95706025-95706967,95705082-95706024
C2C12,Trpc1,intron7,intronic polyadenylation index,0.441823766430817,0.182322314357742,0.259501452073075,-0.0355199867144498,0.552114414823069,0.5393;0.6212;0.165,0;0.118;0.4289,729.0,chr9,-,95720583-95721082,95718665-95719164
NSC34,Atg4b,intron1,intronic polyadenylation index,0.0030787182676461,0.0007479137143756,0.0023308045532704,-0.0012902179174972,0.0078714125548003,0.0086;6e-04;0,0;0;0.0022,729.0,chr1,+,93751632-93752131,93754355-93754854
NSC34,Atg4b,intron5,intronic polyadenylation index,0.474229054636183,0.471252520517833,0.0029765341183502,-0.250804138067068,0.262370577898808,0.3562;0.3328;0.7336,0.5623;0.2452;0.6063,729.0,chr1,+,93768375-93768874,93773220-93773719
NSC34,Atg4b,intron8,intronic polyadenylation index,0.450639638274964,0.336850116833133,0.113789521441831,-0.0491393997417013,0.276718442625363,0.4593;0.5522;0.3404,0.3591;0.1872;0.4642,729.0,chr1,+,93778415-93778914,93780168-93780667
NSC34,Atg4b,intron9,intronic polyadenylation index,0.548622604681217,0.519649047299923,0.0289735573812939,-0.0953134906696603,0.153260605432248,0.5207;0.6635;0.4617,0.487;0.6215;0.4504,729.0,chr1,+,93780962-93781461,93783793-93784292
NSC34,Atg4b,termexon,distal 3'UTR usage index,0.0601321926063908,0.0669694499514571,-0.0068372573450663,-0.0106128520852639,-0.0028020203348371,0.0586;0.0608;0.061,0.0629;0.0708;0.0673,729.0,chr1,+,93787686-93789147,93789148-93790610
NSC34,Mcu,termexon,distal 3'UTR usage index,0.460706519635063,0.477602217372005,-0.0168956977369423,-0.0524467569627445,0.0109729153388516,0.4464;0.4663;0.4694,0.5145;0.4538;0.4645,729.0,chr10,-,59447921-59448858,59446984-59447920
NSC34,Mcu,intron13,intronic polyadenylation index,0.476174180262479,0.455024671432841,0.0211495088296382,-0.079600937525412,0.121899955184688,0.4789;0.5504;0.3992,0.4871;0.5146;0.3635,729.0,chr10,-,59450656-59451155,59448909-59449408
NSC34,Mcu,intron9,intronic polyadenylation index,0.482799009766814,0.475764317326973,0.0070346924398405,-0.110908067995364,0.12627188176805,0.602;0.4825;0.3639,0.5371;0.4574;0.4328,729.0,chr10,-,59465904-59466403,59458211-59458710
NSC34,Micu1,intron6,intronic polyadenylation index,0.418500192720266,0.419552559235432,-0.0010523665151661,-0.0521494180292022,0.0593875990180107,0.3672;0.4094;0.479,0.4131;0.413;0.4326,729.0,chr10,+,59751756-59752255,59756156-59756655
NSC34,Micu1,intron7,intronic polyadenylation index,0.584909870903555,0.559609041995591,0.025300828907964,-0.0412264140841245,0.092118911252885,0.5782;0.5403;0.6363,0.5663;0.504;0.6085,729.0,chr10,+,59757225-59757724,59761863-59762362
NSC34,Micu1,intron8,intronic polyadenylation index,0.408064226445932,0.332760534259386,0.0753036921865463,-0.0200010392224468,0.189647177943765,0.5224;0.3394;0.3624,0.2683;0.3575;0.3725,729.0,chr10,+,59762707-59763206,59766534-59767033
NSC34,Micu1,termexon,distal 3'UTR usage index,0.4026974172838,0.440919393975133,-0.0382219766913339,-0.103386138270337,0.0132903240345427,0.3739;0.419;0.4152,0.507;0.3975;0.4183,729.0,chr10,+,59863179-59863655,59863656-59864132
NSC34,Cbarp,termexon,distal 3'UTR usage index,0.522536919706859,0.549908100855526,-0.0273711811486678,-0.0830848406818738,0.01444906637189,0.5076;0.5382;0.5218,0.6104;0.524;0.5154,729.0,chr10,-,80131351-80132251,80130451-80131350
NSC34,Cbarp,intron12,intronic polyadenylation index,0.382493479820903,0.380948500007111,0.0015449798137918,-0.255673907598993,0.258763867226577,0.4363;0.5698;0.1414,0.1736;0.4524;0.5168,729.0,chr10,-,80134011-80134510,80133236-80133735
NSC34,Atp2a3,intron17,intronic polyadenylation index,0.48064228397166,0.4932941658346,-0.0126518818629405,-0.12653630496332,0.101232541237439,0.5708;0.4755;0.3956,0.3944;0.5246;0.5608,729.0,chr11,+,72983596-72984095,72987424-72987923
NSC34,Atp2a3,intron21,intronic polyadenylation index,0.48029701816198,0.478281946195476,0.0020150719665046,-0.333044113855431,0.337074257788441,0.7856;0.3137;0.3416,0.7092;0.5497;0.176,729.0,chr11,+,72989611-72990110,72991139-72991638
NSC34,Atp2a3,termexon,distal 3'UTR usage index,0.347053615035764,0.393306656639879,-0.0462530416041152,-0.122027386226562,0.0183872728146611,0.3167;0.3747;0.3498,0.4754;0.3393;0.3652,729.0,chr11,+,72991689-72992366,72992367-72993044
NSC34,Pfkp,termexon,distal 3'UTR usage index,0.218980601962506,0.223890840153283,-0.0049102381907769,-0.0514146397840112,0.0449126787461844,0.2689;0.205;0.183,0.2497;0.1958;0.2261,729.0,chr13,-,6580680-6581592,6579768-6580679
NSC34,Pfkp,intron22,intronic polyadenylation index,0.500472765189448,0.521930424901089,-0.0214576597116409,-0.117796861537089,0.0431884246370527,0.3991;0.5565;0.5459,0.5027;0.5392;0.524,729.0,chr13,-,6584051-6584550,6582556-6583055
NSC34,Pfkp,intron18,intronic polyadenylation index,0.498562939484193,0.508236013788081,-0.0096730743038878,-0.127450414730847,0.118942733232221,0.5269;0.5178;0.4511,0.5215;0.6266;0.3766,729.0,chr13,-,6587939-6588438,6587164-6587663
NSC34,Pfkp,intron17,intronic polyadenylation index,0.573671894762247,0.561009249198721,0.0126626455635263,-0.0209188929421679,0.0482683387727454,0.5813;0.5874;0.5523,0.525;0.5907;0.5673,729.0,chr13,-,6597309-6597808,6596113-6596612
NSC34,Pfkp,intron14,intronic polyadenylation index,0.40432985663388,0.254653653743329,0.149676202890551,-0.114547866778015,0.413900272559118,0.3777;0.6491;0.1862,0.1161;0.2018;0.446,729.0,chr13,-,6601851-6602350,6600717-6601216
NSC34,Pfkp,intron9,intronic polyadenylation index,0.747632690617138,0.868160670477031,-0.120527979859893,-0.287417106610654,0.0734582471616267,0.816;0.6467;0.7802,0.6622;0.9936;0.9486,729.0,chr13,-,6613960-6614459,6605779-6606278
NSC34,Ryr2,termexon,distal 3'UTR usage index,0.559814966465585,0.583492874555277,-0.0236779080896918,-0.04339534683433,-0.0039604693450536,0.5427;0.5733;0.5635,0.5662;0.5894;0.5948,729.0,chr13,-,11553857-11554611,11553102-11553856
NSC34,Ryr2,intron103,intronic polyadenylation index,0.521814750515883,0.528358505594264,-0.0065437550783813,-0.0817896974597326,0.0564235421277268,0.4442;0.5834;0.5378,0.4976;0.5403;0.5473,729.0,chr13,-,11559974-11560473,11558162-11558661
NSC34,Ryr2,intron102,intronic polyadenylation index,0.588025556315686,0.446383511060848,0.141642045254838,-0.0470849182905755,0.330369008800251,0.6295;0.4014;0.7331,0.5955;0.3826;0.361,729.0,chr13,-,11566298-11566797,11560731-11561230
NSC34,Ryr2,intron101,intronic polyadenylation index,0.522020594710574,0.454403351550975,0.0676172431595992,-0.177167207932859,0.312401694252057,0.2969;0.7264;0.5427,0.5624;0.5433;0.2575,729.0,chr13,-,11567922-11568421,11567033-11567532
NSC34,Ryr2,intron100,intronic polyadenylation index,0.47206270620777,0.551456506618535,-0.0793938004107647,-0.161910225746641,0.0203419117756962,0.4437;0.5052;0.4673,0.4438;0.6298;0.5807,729.0,chr13,-,11571430-11571929,11568669-11569168
NSC34,Ryr2,intron99,intronic polyadenylation index,0.628139381660547,0.558410745389724,0.0697286362708237,-0.131472315019011,0.270929587560658,0.6352;0.4425;0.8067,0.472;0.4919;0.7114,729.0,chr13,-,11574389-11574888,11572357-11572856
NSC34,Ryr2,intron86,intronic polyadenylation index,0.472558055633746,0.304122383367818,0.168435672265928,0.0158749679365745,0.320996376595282,0.3201;0.5629;0.5346,0.1768;0.3439;0.3917,729.0,chr13,-,11618057-11618556,11605287-11605786
NSC34,Ryr2,intron84,intronic polyadenylation index,0.510514404588094,0.329067564515928,0.181446840072166,-0.0483695775503284,0.373743407902512,0.5951;0.5216;0.4149,0.2171;0.5834;0.1867,729.0,chr13,-,11620765-11621264,11619597-11620096
NSC34,Ryr2,intron82,intronic polyadenylation index,0.502669125960196,0.446101119952965,0.0565680060072315,-0.115447640797069,0.212519957905126,0.6493;0.3279;0.5308,0.425;0.5299;0.3834,729.0,chr13,-,11633757-11634256,11623052-11623551
NSC34,Ryr2,intron69,intronic polyadenylation index,0.664507801358141,0.793999588751995,-0.129491787393854,-0.348152805803059,0.0891692310153506,0.7902;0.7409;0.4624,0.9023;0.5758;0.9039,729.0,chr13,-,11665331-11665830,11662437-11662936
NSC34,Ryr2,intron55,intronic polyadenylation index,0.60272403785886,0.723680818062473,-0.120956780203614,-0.20797859986732,-0.0118920944467788,0.5908;0.5759;0.6415,0.7589;0.8038;0.6083,729.0,chr13,-,11705085-11705584,11703626-11704125
NSC34,Ryr2,intron9,intronic polyadenylation index,0.65278102424122,0.555981876803922,0.0967991474372989,-0.0163585734530007,0.21580016472515,0.6582;0.5874;0.7127,0.437;0.6512;0.5798,729.0,chr13,-,11882495-11882994,11879638-11880137
NSC34,Stimate,intron4,intronic polyadenylation index,0.502655340216374,0.507243640807369,-0.0045883005909941,-0.0707817674419027,0.0549380000520072,0.552;0.5238;0.4321,0.5311;0.4724;0.5182,729.0,chr14,+,30864575-30865074,30865895-30866394
NSC34,Stimate,intron6,intronic polyadenylation index,0.533185279907405,0.481525057002711,0.0516602229046934,-0.0076561777755064,0.110976623584893,0.569;0.5397;0.4908,0.4275;0.49;0.5271,729.0,chr14,+,30866795-30867294,30869962-30870461
NSC34,Stimate,termexon,distal 3'UTR usage index,0.258953299280244,0.26884914371423,-0.0098958444339851,-0.0658641746039864,0.0458299523223537,0.2999;0.2575;0.2195,0.2282;0.3157;0.2626,729.0,chr14,+,30874378-30875793,30875794-30877210
NSC34,Micu2,termexon,distal 3'UTR usage index,0.325470084903598,0.377304417360844,-0.0518343324572462,-0.0929936967681256,-0.0159150443111815,0.3164;0.3093;0.3507,0.4208;0.3567;0.3544,729.0,chr14,-,57916818-57917375,57916261-57916817
NSC34,Micu2,intron11,intronic polyadenylation index,0.636442319769939,0.599885126700671,0.0365571930692681,-0.175776869347646,0.21859407725072,0.5646;0.6435;0.7012,0.5463;0.8314;0.4219,729.0,chr14,-,57923390-57923889,57919983-57920482
NSC34,Micu2,intron10,intronic polyadenylation index,0.496626843960556,0.547385885899998,-0.0507590419394424,-0.242594055577924,0.140233626126611,0.3048;0.6583;0.5268,0.4533;0.6728;0.5161,729.0,chr14,-,57926647-57927146,57924162-57924661
NSC34,Micu2,intron7,intronic polyadenylation index,0.471698778771243,0.424342039982868,0.0473567387883753,-0.0199040761324574,0.109317377283901,0.4991;0.4771;0.4389,0.3671;0.4133;0.4927,729.0,chr14,-,57938066-57938565,57932780-57933279
NSC34,Micu2,intron6,intronic polyadenylation index,0.578927497748611,0.620085327982012,-0.0411578302334006,-0.157604280594989,0.0752886201281882,0.6462;0.5012;0.5893,0.5178;0.6202;0.7222,729.0,chr14,-,57943038-57943537,57938733-57939232
NSC34,Micu2,intron4,intronic polyadenylation index,0.675080748669804,0.467934520389137,0.207146228280666,-0.004382839609026,0.430808444967075,0.797;0.6093;0.6189,0.2436;0.4792;0.681,729.0,chr14,-,57953586-57954085,57945483-57945982
NSC34,Poldip3,termexon,distal 3'UTR usage index,0.435264696543234,0.438967649308948,-0.0037029527657145,-0.048951513694373,0.0406258345114549,0.4671;0.4152;0.4235,0.4842;0.4031;0.4296,729.0,chr15,-,83127016-83128055,83125976-83127015
NSC34,Poldip3,intron6,intronic polyadenylation index,0.553442810140624,0.525209432867909,0.0282333772727148,-0.0404212771423553,0.106754926165282,0.4848;0.5418;0.6338,0.5072;0.5342;0.5342,729.0,chr15,-,83130931-83131430,83129311-83129810
NSC34,Poldip3,intron3,intronic polyadenylation index,0.494613229975008,0.558860656482615,-0.0642474265076068,-0.274644524110542,0.183181913410568,0.6003;0.4908;0.3927,0.3055;0.7307;0.6404,729.0,chr15,-,83134744-83135243,83133377-83133876
NSC34,Poldip3,intron1,intronic polyadenylation index,0.683148304294055,0.6092789967827,0.0738693075113556,-0.121673154909028,0.269411769931739,0.5019;0.7663;0.7812,0.4289;0.7363;0.6626,729.0,chr15,-,83148645-83149144,83138573-83139072
NSC34,Kalrn,termexon,distal 3'UTR usage index,0.425933421982782,0.44274408191869,-0.0168106599359078,-0.0389005088087081,0.0062805639756977,0.449;0.4206;0.4082,0.4539;0.4279;0.4464,729.0,chr16,-,33972576-33976079,33969073-33972575
NSC34,Kalrn,intron67,intronic polyadenylation index,0.505498435572063,0.598565351549184,-0.093066915977121,-0.307822661898216,0.121688829943974,0.3139;0.6983;0.5043,0.7421;0.4822;0.5714,729.0,chr16,-,33982138-33982637,33978777-33979276
NSC34,Kalrn,intron60,intronic polyadenylation index,0.451578655270019,0.534936226886711,-0.0833575716166919,-0.265969701778807,0.122322141468462,0.5108;0.5111;0.3329,0.5768;0.3292;0.6988,729.0,chr16,-,34008720-34009219,33993714-33994213
NSC34,Kalrn,intron55,intronic polyadenylation index,0.460684631811469,0.391744738807162,0.0689398930043063,-0.0592270302342497,0.197106816242862,0.3577;0.4699;0.5544,0.4172;0.2851;0.473,729.0,chr16,-,34027388-34027887,34016681-34017180
NSC34,Kalrn,intron26,intronic polyadenylation index,1.0,0.989992128640504,0.0100078713594962,0.0,0.0300236140784886,1;1;1,0.97;1;1,729.0,chr16,-,34211608-34212107,34205381-34205880
NSC34,Kalrn,intron23,intronic polyadenylation index,0.0342287431886838,0.0152141726655435,0.0190145705231403,-0.008833253306547,0.0437985720147214,0.0216;0.0308;0.0503,0;0.0456;0,729.0,chr16,-,34217246-34217745,34215180-34215679
NSC34,Itpr3,termexon,distal 3'UTR usage index,0.247235849030431,0.271335530134983,-0.0240996811045515,-0.105890153693438,0.0576907914843352,0.307;0.2421;0.1926,0.3388;0.2078;0.2674,729.0,chr17,+,27121460-27121841,27121842-27122223
NSC34,Hdgfl2,intron2,intronic polyadenylation index,0.493952669110323,0.517866139908601,-0.0239134707982784,-0.149411685864448,0.107911683206771,0.6258;0.4339;0.4222,0.425;0.5307;0.5979,729.0,chr17,+,56080169-56080668,56080874-56081373
NSC34,Hdgfl2,intron5,intronic polyadenylation index,0.489880283868349,0.424464457581569,0.0654158262867799,0.0098083537940688,0.121023298779491,0.4609;0.5404;0.4683,0.3746;0.4619;0.4368,729.0,chr17,+,56082466-56082965,56092972-56093471
NSC34,Hdgfl2,intron6,intronic polyadenylation index,0.416418239948394,0.340989436902466,0.0754288030459282,0.0045091110162172,0.143101984176354,0.463;0.3455;0.4407,0.2902;0.3757;0.3571,729.0,chr17,+,56093773-56094272,56095467-56095966
NSC34,Stmn2,intron2,intronic polyadenylation index,0.301178798586807,0.153390444696878,0.147788353889929,0.0051515203570909,0.290425187422768,0.2678;0.207;0.4288,0.2739;0.0678;0.1186,729.0,chr3,+,8542488-8542987,8545023-8545522
